Reaction	Acetate	Fructose	Galactose	Glucose	Glycerol	Gluconate	Pyruvate	Succinate
R_CRNCAL2	7.404751487302142e-11	7.768825017207371e-11	1.033831980612201e-10	2.41605701440934e-11	7.042663064802344e-11	3.975380473710714e-11	4.8804721221141755e-11	6.470089834345129e-11
R_CRNCAR	1.4809478730143377e-10	1.5537645128849142e-10	2.0676632107863302e-10	4.832112921598908e-11	1.4085321797807637e-10	7.9517095165349e-11	9.760939452541084e-11	1.2940175753844985e-10
R_CRNCBCT	7.404746260597507e-11	7.768819008241445e-11	1.0338312324276178e-10	2.4160558102781504e-11	7.042658730499474e-11	3.975374890385908e-11	4.8804678180747185e-11	6.470085925358582e-11
R_CYSTL	4.9168097065606767e-08	0.00017439119536111092	5.110369259391709e-05	0.0002621729028379606	3.086418195161784e-05	7.56585926105073e-05	6.398594631632237e-06	9.666537844279454e-06
R_APRAUR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CYSTRS	3.2033029606163246e-19	8.062855460899229e-21	0.0	7.016876071654177e-21	0.0	4.5072042434028015e-21	0.0	0.0
R_CYSabc2pp	7.2122100179761745e-06	7.671368067607686e-05	1.9345960109066705e-05	6.213796290877941e-05	5.205618863764445e-05	4.735161811174938e-05	2.7539356354826485e-05	3.901946511001609e-05
R_CRNCDH	6.331740687315346e-17	-7.806255641895632e-18	0.0	-8.673617379884034e-19	8.673617379884034e-19	-3.2014321749151967e-15	1.7347234759768067e-18	-1.7347234759768067e-18
R_CRNDCAL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ARAI	9.899727889013664e-09	-7.475042532005538e-09	3.850648876146946e-09	-7.3467165753737795e-09	8.725591860159199e-09	3.282502268370409e-09	9.76411547795597e-09	9.749743039495253e-09
R_CRNDabcpp	0.0006305514325740076	0.0009910200479658856	0.0006753020103763902	0.0018076404437711907	0.0008544821897523839	0.0012531595410058148	0.0012790130552766035	0.0011348792321174506
R_CYSabcpp	0.00584726742403512	0.01170284214600835	0.008876073198239387	0.011309844776031785	0.010622232202524085	0.009063330259369123	0.008404814080205568	0.008297233454620797
R_CYStex	9.762009423042173e-09	-1.9489571956299298e-08	6.2877019146867505e-09	-8.281308772062347e-08	8.028753439859314e-09	1.52478030202019e-11	4.848447865413164e-09	6.884779191196343e-09
R_ARBTNR1	0.009463168373550292	0.010743485233615516	0.008816637740320344	0.011314076008750059	0.01198081531349076	0.010298983748037348	0.01065673419896399	0.011720414300123804
R_CYStpp	0.0058400454520076755	0.011626147954904228	0.008856720950428425	0.01124778962621067	0.010570167985132856	0.009015978626009379	0.008377269875402923	0.008258207104731616
R_CYTBD2pp	0.004289283468597615	0.009679421754678938	0.012039013569003144	0.027543405380963545	0.012967163828414887	0.012222612949225331	0.004911740404686639	0.0072013928367141294
R_CYTBDpp	0.06711388157615336	0.1121490068704187	0.13773396673721247	0.07588956986564183	0.1172034153757863	0.07546630166758253	0.13277592912693525	0.08059657345033036
R_CYTBO3_4pp	1.3405354005468149	1.292196435261847	1.1438104611096924	1.3002245020275387	1.3773300033831388	1.23551428163801	1.4528246488022158	1.6264764204259252
R_CYTD	0.00037105199131013723	0.0006929609852316284	0.00028330891582175466	0.0003946411259931144	0.0003269833941551209	0.00027148208627075234	0.00042246246269363777	0.00018706428359758053
R_CRNDt2rpp	0.002814046911489745	0.0025637364281980712	0.002587857487337246	0.002541122643690885	0.002456320357437654	0.0021624631968644864	0.001620945567436069	0.002383588418705597
