Reaction	Acetate	Fructose	Galactose	Gluconate	Glucose	Glycerol	Pyruvate	Succinate
R_EX_ade_e	6.041483495883954e-07	6.041483495883954e-07	6.041483495883954e-07	6.041483495883954e-07	6.041483495883954e-07	6.041483495883954e-07	6.041483495883954e-07	6.041483495883954e-07
R_EX_adn_e	3.440765764523608e-06	3.440765764523608e-06	3.440765764523608e-06	3.440765764523608e-06	3.440765764523608e-06	3.440765764523608e-06	3.440765764523608e-06	3.440765764523608e-06
R_EX_adocbl_e	2.2551342166047925e-05	2.2551342166047925e-05	2.2551342166047925e-05	2.2551342166047925e-05	2.2551342166047925e-05	2.2551342166047925e-05	2.2551342166047925e-05	2.2551342166047925e-05
R_EX_ag_e	1.3770195977226006e-05	1.3770195977226006e-05	1.3770195977226006e-05	1.3770195977226006e-05	1.3770195977226006e-05	1.3770195977226006e-05	1.3770195977226006e-05	1.3770195977226006e-05
R_EX_lipoate_e	6.763653715385071e-06	6.763653715385071e-06	6.763653715385071e-06	6.763653715385071e-06	6.763653715385071e-06	6.763653715385071e-06	6.763653715385071e-06	6.763653715385071e-06
R_EX_lys__L_e	6.763653714838661e-06	6.763653714838661e-06	6.763653714838661e-06	6.763653714838661e-06	6.763653714838661e-06	6.763653714838661e-06	6.763653714838661e-06	6.763653714838661e-06
R_EX_lyx__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_mal__D_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_agm_e	0.0047231385569818	0.0047231385569818	0.0047231385569818	0.0047231385569818	0.0047231385569818	0.0047231385569818	0.0047231385569818	0.0047231385569818
R_EX_akg_e	-0.0047231385569827	-0.0047231385569827	-0.0047231385569827	-0.0047231385569827	-0.0047231385569827	-0.0047231385569827	-0.0047231385569827	-0.0047231385569827
R_EX_cyan_e	9.498631414111647e-06	9.498631414111647e-06	9.498631414111647e-06	9.498631414111647e-06	9.498631414111647e-06	9.498631414111647e-06	9.498631414111647e-06	9.498631414111647e-06
R_EX_ala_B_e	9.498631414111014e-06	9.498631414111014e-06	9.498631414111014e-06	9.498631414111014e-06	9.498631414111014e-06	9.498631414111014e-06	9.498631414111014e-06	9.498631414111014e-06
R_EX_ala__D_e	7.320668422817983e-05	7.320668422817983e-05	7.320668422817983e-05	7.320668422817983e-05	7.320668422817983e-05	7.320668422817983e-05	7.320668422817983e-05	7.320668422817983e-05
R_EX_ala__L_e	1.6397742678320832e-05	1.6397742678320832e-05	1.6397742678320832e-05	1.6397742678320832e-05	1.6397742678320832e-05	1.6397742678320832e-05	1.6397742678320832e-05	1.6397742678320832e-05
