Reaction	Glycerol	Succinate	Acetate	Fructose	Galactose	Gluconate	Glucose	Pyruvate
R_TRE6PP	3.970411893616224e-07	-3.726607826919607e-06	1.7465623637042272e-05	-2.3359816390287637e-06	1.9018127467699488e-05	-3.34422958772728e-06	-3.0975573204426547e-06	-2.9791052318544902e-06
R_TDPGDH	-8.619621802521112e-06	-1.0138182884884505e-05	-1.126909762853467e-05	-1.2441842901533991e-05	-1.334122403329418e-05	-1.4461635078191415e-05	-1.0863957997430142e-05	-1.0272095788313644e-05
R_TDSK	-1.1917791622461998e-06	-1.4078529849854545e-06	-3.0241657294851634e-06	3.1585158627312377e-06	-1.0033404268846157e-06	-2.0645445110549056e-06	1.7884722979839396e-06	-4.1429966422836754e-07
R_TRE6PS	1.091497249562288e-05	1.3834979030394484e-05	2.698971336609589e-05	1.57869387790168e-05	2.6411057156796774e-05	2.077421704886932e-05	1.2839582384420838e-05	2.0611238680153136e-05
R_RBP4E	1.216902909010058e-05	2.7429103339099902e-05	3.089696117636082e-05	2.045456336366479e-06	1.9937081675286145e-05	1.73372587273647e-05	-4.8486963842486654e-06	2.0623086962890443e-05
R_TREH	3.970411893543814e-07	-3.7266078269955456e-06	1.7465623637006483e-05	-2.3359816390376258e-06	1.9018127467591996e-05	-3.344229587805445e-06	-3.097557320326414e-06	-2.9791052319581234e-06
R_TREHpp	1.5796902812845864e-05	2.5694273987269465e-05	2.301156320661628e-05	2.640692370985921e-05	2.2212593494470173e-05	2.2885881932974152e-05	2.220933026129354e-05	2.31142937148739e-05
R_TREptspp	-4.766516920261875e-06	-8.90328072406299e-06	-8.348062578846566e-06	-1.1126512001655516e-05	-3.701858476301894e-06	-3.3454686910092983e-06	-9.221067781654693e-06	-8.180887937665735e-06
R_TDSR1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_TDSR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_TGBPA	5.94720718485181e-06	1.5717148770830885e-05	1.2563233816077768e-05	1.1089303298787712e-06	1.1645932047499308e-05	9.648113529166225e-06	5.450966997843504e-06	1.3300001138645544e-05
R_THD2pp	0.0150383102292871	0.0160810739548123	0.0119918899284196	0.0171915880642884	0.0099733044061294	0.0152804702516082	0.0197681216189632	0.0164219104117952
R_THDPS	-9.91886904101884e-06	-1.4678818618532662e-05	-1.2327394864388276e-05	-1.418961706685754e-05	-1.6163666104202853e-05	-1.826723930967028e-05	-1.3484571452180155e-05	-1.2616083030265085e-05
R_THFAT	0.0104285999820382	0.0103738525139814	0.0104186823493773	0.0105039791217911	0.0103585724030811	0.0103658214020045	0.0103857394318139	0.010481302207444
R_THIORDXi	1.143114867744614e-05	4.922576182945843e-06	-3.1174324632097835e-06	-5.413621773907011e-06	5.825244377916356e-05	7.93212348451937e-06	2.8166575428866677e-05	-4.4277085898874285e-06
R_THMDt2pp_copy1	0.0025479059217311	0.0029496154558896	0.001961633482806	0.0019718094743435	0.0012912855437662	0.0031587409366679	0.0028615989740821	0.0023907239017786
