Reaction	Fructose	Gluconate	Glucose	Glycerol	Malate + Glucose	Malate	Pyruvate	Succinate + Glutamate
R_AHSERL3	-1.3877787807814457e-17	0.0	-3.469446951953614e-18	1.0408340855860844e-17	-3.469446951953614e-18	6.938893903907228e-18	0.0	6.938893903907228e-18
R_AHSERL4	0.0	0.0	0.0	-3.469446951953614e-18	0.0	0.0	6.938893903907228e-18	0.0
R_EX_na1_e	0.0	-2.0816681711721685e-17	6.938893903907228e-18	-1.7347234759768068e-17	1.0408340855860844e-17	2.0816681711721685e-17	1.0408340855860844e-17	-2.775557561562892e-17
R_AICART	1.7699425975611915e-06	8.444410184285656e-06	7.089281104502576e-06	3.996874227564506e-06	4.571079562934455e-06	5.303560987678091e-06	1.9740132534071253e-06	3.889736360351143e-06
R_AKGDH	0.0043992203118539	0.0019385709646644	0.0039844772700362	0.0019931157370901	1.0080850299556248e-05	3.790137492150067e-05	0.0101071803654413	0.0145797548687389
R_EX_nac_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_AIRC1	9.71142767702874e-07	4.275062638184935e-06	3.3807031690089134e-06	2.2504765028197407e-06	1.8922935733224385e-06	3.2688301803551564e-06	1.3753794546876156e-06	3.479801297637164e-06
R_ATPM	3.327352723739792e-07	1.764137460809079e-06	9.513148361072872e-07	9.321476996654689e-07	8.716562693866715e-07	1.5669649806155471e-06	5.298964068622705e-07	4.700901904934994e-07
R_BIOMASS_BS_10	-7.530460808903661e-09	-4.4197973448516794e-08	-3.2710854414998823e-08	-2.9399856796824952e-08	-2.6830605906791337e-08	-5.038246217252633e-08	-1.6608042640569327e-08	-1.572549543923602e-08
R_EX_nh4_e	-4.87658805090746e-06	-2.1033111307446065e-05	-1.3672954492807005e-05	-8.488907674419205e-06	-1.3964748498841025e-05	-2.2548045857793964e-05	-7.868362899978582e-06	0.0405106475542423
R_BTDt6_RR	-1.95441862007803e-06	-9.482331358411088e-07	-4.026491725438869e-06	-7.334665165885379e-07	-8.560586647783641e-07	-3.1644945791553525e-07	-1.254216053653279e-07	-1.4139169817600774e-07
R_CHORt2	-3.0287631097580814e-08	-1.308928443098656e-07	-8.804524876532271e-08	-4.7485268474256603e-08	-9.486278744127997e-08	-8.459140034278169e-08	-2.7372012573190222e-08	-2.1668771586075275e-08
R_ALAALAr	-7.667288817736483e-10	-4.500105055954551e-09	-3.330521046451817e-09	-2.993405280593553e-09	-2.7318117143404486e-09	-5.129791109254045e-09	-1.690981094731869e-09	-1.6011227725598596e-09
R_AKGt2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ni2_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_AKP1	9.08677578131002e-08	4.4502490336233337e-07	2.562442963567117e-07	1.8194015003440805e-07	2.5571196157789365e-07	4.469528742121829e-07	1.5834318511511753e-07	2.094172882507343e-07
R_ALAD_L	0.0026676024668918	0.0023366544064459	0.0033220693640131	0.0033836899597631	0.0035082684872585	0.0053594746252416	0.0055384969178629	0.0090410019327791
R_ALAR	3.4814698328042293e-06	8.456757561371708e-06	2.1693569074929253e-05	7.204033640944435e-06	3.0038778757110478e-06	2.745544954094181e-06	1.413465387848506e-06	0.0034208329382174
R_ALATA_L	-0.0026710811601008	-0.0023450948673747	-0.0033437508719745	-0.003390883153118	-0.0035112624721803	-0.0053622015932249	-0.0055399042595498	-0.0124618290727075
R_CITRt2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CMPt6	-1.1413041497987386e-08	-4.105809308166397e-08	-2.6936126211463133e-08	-7.251642418493187e-09	-2.8928778147280232e-08	-3.003243254084964e-08	-1.2304559451198347e-08	-1.8113287789806032e-08
R_CO2t	-0.0555237257194447	-0.0564511079801728	-0.055232354689691	-0.0350521371053478	-0.0680689398363418	-0.0731872262520744	-0.0654706475743977	-0.0552823499033727
R_DALAt2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ARSNAt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ALAt2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_no2_e	-5.38567301684339e-10	-1.4211619222681923e-09	-2.562982326937863e-09	-2.907387062869174e-09	-1.6279094733519126e-09	1.913611852487265e-09	5.723695349609732e-10	4.767980543064358e-11
R_ALCD19y	0.0017598290850801	-6.652820162822426e-09	-3.8219967676833555e-09	-0.0214691196229235	-3.308632597065486e-09	-9.88903916393502e-09	-3.0168571321653732e-09	-3.1291205876415873e-09
R_ARSt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ARGabc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_no3_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ARGt2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ARSENBabc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CYSGLYt2ir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CYSTabc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ARSENBt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_o2_e	-0.0566403893002475	-0.0527982713592948	-0.0561558909414685	-0.0561025243155301	-0.0546214957823672	-0.0483945965802579	-0.0523336007091726	-0.0659882304990488
R_ASAD	-2.463572195583741e-06	-1.1677210503838189e-05	-9.60902701209465e-06	-6.793924461501871e-06	-2.332851947488973e-05	-9.203316172011478e-06	-2.267808965901452e-06	-2.702811371102509e-06
R_ASNN	4.6054610474027173e-07	2.4453366098528807e-06	1.5400868734946738e-06	1.2187646328739505e-06	1.2568230119059398e-06	1.9119526645377684e-06	7.856026332215065e-07	7.563448904040265e-07
R_ASNS1	4.5943169451045205e-07	2.4387958843605584e-06	1.5352460923018377e-06	1.214413836156698e-06	1.252852431153648e-06	1.9044967152230509e-06	7.831448587987249e-07	7.540177215098678e-07
R_CYSabc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_DEXTRINt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ASP1DC	2.2887061879221e-07	9.115307325479448e-07	6.539138911499785e-07	4.440418883106427e-07	6.562852850549069e-07	6.805788803288829e-07	2.3577039042412818e-07	2.82294003008986e-07
R_EX_orn__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ASPCT	2.763058423372865e-07	1.2892699648838213e-06	7.752253251870911e-07	5.233721886802668e-07	8.098922469440071e-07	1.397016259414441e-06	4.898212931727594e-07	7.600248371329957e-07
R_ASPK	2.4635721955351686e-06	1.1677210503852065e-05	9.609027012108529e-06	6.793924461456768e-06	2.3328519474882792e-05	9.20331617206005e-06	2.2678089658806355e-06	2.702811371102509e-06
R_DHAt	-4.302727577044918e-07	-8.652843441030178e-07	-1.436902443738286e-06	-3.493527887671322e-07	-1.1194483481372086e-06	-2.797222681677481e-07	-8.097383068228493e-08	-6.845041145356334e-08
R_EX_pala_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_4abut_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ASPO6	-1.3039436218775578e-10	-7.652427336774648e-10	-5.663475701285697e-10	-5.090424923040453e-10	-4.645419979911357e-10	-8.723167423130464e-10	-2.8755720444844434e-10	-2.722772468442256e-10
R_ASPO1	3.6165476435476734e-06	9.27214453201585e-06	3.940452614355965e-05	5.478872883231639e-06	3.417473359708817e-06	2.973387997001224e-06	1.784769510323605e-06	0.0074841781831368
R_ASPT	0.0013542566764106	0.0016922204761255	0.0012057315170054	0.0014131002064231	0.0001688535778516	1.4428810530809274e-05	3.816894700256816e-06	9.359875106299358e-06
R_ASPTA	-0.0013632581120837	-0.0017268608015252	-0.0012650932887576	-0.0014318674906854	-0.0002033072441905	-3.657730021269096e-05	-1.1411116917992016e-05	-0.0075025051432937
R_EX_pep_e	9.830884328185445e-08	4.675344885012173e-07	2.919592053694795e-07	1.8740343908454906e-07	3.016862623625287e-07	5.038632132738624e-07	1.706527065696511e-07	1.487552221014596e-07
R_ATPPRT	7.987998298583654e-07	4.169347546118668e-06	3.708577935537805e-06	1.7463977247320073e-06	2.678785989609217e-06	2.034730807343177e-06	5.986337987401447e-07	4.099350626972365e-07
R_DADK	-0.000892842100666	-0.0018735832965034	-0.0031508771327622	-5.003714827973155e-05	-0.0029780195743454	-3.569171647559155e-06	-4.5051313091876166e-07	-1.1373053931118535e-06
R_EX_phe__L_e	9.841015198484425e-08	3.948966999233379e-07	3.022712926603753e-07	1.8164616022871444e-07	2.519258174549012e-07	2.6785230209861374e-07	9.708412621596508e-08	1.1020310733458053e-07
R_DADNt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ATPS4r	0.0284368947275356	0.0299937423486935	0.0255270577972754	0.0270492277003986	0.0234530702369634	0.0299353530976884	0.0372480743805655	0.0377697333575455
R_BETALDHx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_BG_CELLB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CYSS_2	3.1937344586899824e-07	1.504939759392432e-06	9.789761844082731e-07	8.387211021359005e-07	6.379686262265928e-07	8.141141393239973e-07	2.508840504938947e-07	2.79344933763196e-07
R_EX_pi_e	-1.5741809677553842e-06	-5.3840083291921415e-06	-1.2874070131368986e-05	-1.6928353548627262e-06	-0.0019261952786376	-2.9853594298925867e-06	-9.122637126615652e-07	-9.649463774165368e-07
R_DHPPDA	8.338627878049114e-08	3.864606258352111e-07	2.5121019894946026e-07	1.510535843367163e-07	2.4586258157873256e-07	2.798349539122168e-07	9.168591580363107e-08	9.722038775014885e-08
R_BG_MADG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_BG_MBDG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_BILEt4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_DDPA	3.244606838667265e-07	1.3943688434155466e-06	9.709287356028863e-07	5.951892442647646e-07	8.814043044723423e-07	1.0830986747438426e-06	3.84264300377415e-07	4.477454298866423e-07
R_EX_pnto__R_e	2.2887062227554918e-07	9.115307287235034e-07	6.53913902347632e-07	4.4404191279794585e-07	6.56285274225833e-07	6.805789098646071e-07	2.3577039507727074e-07	2.822940051463525e-07
R_CRNabc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_BTDD_RR	-1.954418620039866e-06	-9.482331358411088e-07	-4.026491725449277e-06	-7.334665165920073e-07	-8.560586647818336e-07	-3.1644945792247414e-07	-1.2542160535491953e-07	-1.413916981725383e-07
R_EX_ppa_e	1.4261949880700542e-05	2.24696681273629e-05	7.306641811632683e-05	1.1048970259634706e-05	2.6154242142152172e-05	6.44724177519422e-06	4.167761045813249e-06	2.7327813455753746e-06
R_BLACT	-6.938893903907228e-18	0.0	0.0	0.0	0.0	0.0	0.0	-1.3877787807814457e-17
R_CTPS1	0.0097104284997908	0.0096773865227906	0.0106793602939584	0.0069919848462469	0.0101784254924172	0.0081359070241653	0.0089577287070724	0.0112963654149255
R_BTS_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CPPPGO	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_ppi_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CRO4t3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CS	0.0044068525767599	0.0019457317166965	0.0039962095786649	0.0019972247511929	0.0070659497992393	0.0062364872888659	0.0101252754923251	2.9949420892847136e-07
R_EX_pro__L_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CTPS2	3.2133596618357133e-07	1.70232242781137e-06	9.275425932518446e-07	8.489570644077976e-07	8.590947481515851e-07	1.5443111173489562e-06	5.604300408608656e-07	4.794331047635007e-07
R_CYOR3m	0.0469116301144784	0.04624403800747	0.0468386829860052	0.0478288542947795	0.0460999469653143	0.0479592507418309	0.051028256716353	0.0469477880282344
R_BUTKr	3.469446951953614e-18	3.469446951953614e-18	0.0	-1.0408340855860844e-17	0.0	0.0	3.469446951953614e-18	-3.469446951953614e-18
R_BUTSabc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_prolb_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CA2abc1	4.282654117600122e-07	2.228286841083985e-06	1.226382155248556e-06	1.1552991160173182e-06	1.1083180137394026e-06	1.943426936208279e-06	8.359197049778734e-07	6.870801000947005e-07
R_CAT	0.0016507667176118	0.002308754256044	0.0022587086377617	0.0019314484215737	0.0027530923466509	0.0039720458417645	0.0033550419235857	0.0047462082606942
R_CAt4	0.0081811473188792	0.007440940651793	0.0072756261247622	0.0061138522135609	0.0061698804393903	0.0055780965613086	0.0100815895919591	0.0092116631974806
R_CYOO3	0.0469116301144783	0.0462440380074702	0.0468386829860052	0.0478288542947796	0.0460999469653143	0.0479592507418311	0.051028256716353	0.0469477880282344
R_CYSTGL	4.835038742236447e-07	2.385924340150092e-06	1.5410095710623844e-06	1.3517367359428462e-06	2.1073234108065445e-06	1.907030565301429e-06	4.918622876321357e-07	4.468095822682947e-07
R_CYSTL	2.821977037317942e-06	9.447530102875786e-06	8.520831866276988e-05	6.542126216285206e-06	5.593730511929275e-06	1.7791964203160375e-06	4.801836283422112e-07	6.561056861397067e-07
R_CYSTS	3.0264492049605986e-06	1.0490288102005565e-05	8.59131572742341e-05	7.147874112479158e-06	6.600321383851311e-06	2.517203577840796e-06	6.499852714791511e-07	7.898344256477312e-07
R_DCYTD	0.0030311283805249	0.0037143938842561	0.0044914695498145	0.0017105612269623	0.0042951938387626	1.926306747983337e-05	9.62178682764066e-07	1.5315857059776273e-05
R_CYTB_B2	0.0159198177739847	0.0111607849036625	0.0146401432451038	0.0168024111850156	0.0160968336036695	0.0099454806605581	0.0131322603866026	0.0252415215412243
R_CYTB_B3	0.0366016461819236	0.0332238618953349	0.0373305803265364	0.0347352649090995	0.0331761526641996	0.029176094997852	0.0321447700596548	0.0380354077704976
R_CBL2abc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CD2t4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CBPS	5.71782533734068e-07	2.641910621890884e-06	1.5941638149183465e-06	1.2103378554431194e-06	1.5543344720439786e-06	2.6317991931477114e-06	8.82730238680579e-07	1.506105648832638e-06
R_CYTD	2.5103833927029892e-05	7.940488279584208e-05	5.407734977245383e-05	9.494667618975044e-05	1.385776277357839e-05	0.0001531438756443	1.2470686525942915e-05	0.0017233979964688
R_EX_pser__D_e	-4.639168650736881e-09	-2.8574981616935223e-08	-1.6945457399465533e-08	-1.8188061695293427e-08	-1.5772631044865472e-08	-2.8975841164347202e-08	-8.502556984917678e-09	-7.83089381638746e-09
R_EX_pser__L_e	1.0595485956979445e-07	4.268012145710271e-07	2.959577983005845e-07	1.739547475821652e-07	2.832016273710284e-07	3.699176592698467e-07	1.272108634816385e-07	1.8588007061205561e-07
R_DJENKabc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CYTDK1	1.1396164502715897e-06	6.096803452390936e-06	5.828309357477225e-06	3.3242573592755594e-06	3.7770065800249034e-06	3.803271542942351e-06	1.1418117825254634e-06	1.3779698409530684e-06
R_CD2abc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CDGPT_BS	-1.566335882110285e-10	-9.193178280614611e-10	-6.80385716384625e-10	-6.115170507375698e-10	-5.58076544308318e-10	-1.0479551584686276e-09	-3.454472808899042e-10	-3.2709030174379315e-10
